Κατηγορία,Σχολείο,Κωδικός,Διεύθυνση,Περιφερειακή Διεύθυνση
Γυμνάσια,12ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501150,"ΚΕΙΡΙΑΔΩΝ ΚΑΙ ΣΦΗΤΤΙΩΝ 1, ΤΚ 11854",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,13ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501160,"ΑΛΦΕΙΩΝΙΑΣ 10-12 & ΒΟΥΤΣΙΝΑ, ΤΚ 11632",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,14ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501170,"ΑΝ.ΖΙΝΝΗ 28, ΤΚ 11741",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,15ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501180,"ΡΗΝΕΙΑΣ 2, ΤΚ 11362",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,16ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501190,"Πανόρμου και Λαρίσης 47, ΤΚ 11524",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,17ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501200,"ΚΥΝΙΣΚΑΣ 29, ΤΚ 11636",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,18ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501210,"ΔΑΙΡΠΦΕΛΔ 13, ΤΚ 11144",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,19ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501220,"Αγ. Μελετίου 105, ΤΚ 11251",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,1ο ΕΣΠΕΡΙΝΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501420,"Νικοπόλεως 33-35, ΤΚ 11253",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,1ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΒΥΡΩΝΑ,501490,"Γ. ΓΕΝΝΗΜΑΤΑ 34, ΤΚ 16231",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,1ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΓΑΛΑΤΣΙΟΥ,501402,"ΠΑΣΣΩΒ 8, ΤΚ 11141",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,1ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΔΑΦΝΗΣ,501510,"ΓΡΑΜΜΟΥ 1, ΤΚ 17234",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,1ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΖΩΓΡΑΦΟΥ,501540,"ΚΡΙΝΩΝ 26, ΤΚ 15772",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,1ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΗΛΙΟΥΠΟΛΗΣ,501610,"ΓΡ.ΑΥΞΕΝΤΙΟΥ 2, ΤΚ 16343",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,1ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΚΑΙΣΑΡΙΑΝΗΣ - ΔΗΜΗΤΡΗΣ ΚΑΡΑΜΟΛΕΓΚΟΣ,501630,"ΗΡ. ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ 13 Β, ΤΚ 16121",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,1ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΝΕΑΣ ΦΙΛΑΔΕΛΦΕΙΑΣ,501680,"Ν. ΤΡΥΠΙΑ 47, ΤΚ 14341",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,1ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΥΜΗΤΤΟΥ,501162,"ΠΡΟΥΣΣΗΣ ΚΑΙ ΔΗΜΟΚΡΑΤΙΑΣ, ΤΚ 17236",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,1ο ΠΕΙΡΑΜΑΤΙΚΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΑΣ,501040,"ΑΔΡΙΑΝΟΥ 114, ΤΚ 10557",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,20ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501111,"Μ.ΚΟΡΑΚΑ 44, ΤΚ 10445",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,21ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501181,"ΤΑΥΓΕΤΟΥ 60, ΤΚ 11255",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,23ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΑΣ,501131,"ΚΕΔΡΗΝΟΥ ΚΑΙ Δ.ΤΣΕΛΙΟΥ 1, ΤΚ 11522",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,24ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501132,"Γ.ΣΟΥΚΑ 3, ΤΚ 11522",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,26ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ - ΜΑΡΑΣΛΕΙΟ,501260,"ΜΑΡΑΣΛΗ 8, ΤΚ 10676",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,2ο ΕΣΠΕΡΙΝΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501430,"Π.ΚΥΡΙΑΚΟΥ 12, ΤΚ 11521",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,2ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΝΩ ΗΛΙΟΥΠΟΛΗ - ΔΕΛΜΟΥΖΕΙΟ,501620,"ΚΕΦΑΛΛΗΝΙΑΣ ΚΑΙ ΜΕΣΣΗΝΙΑΣ, ΤΚ 16342",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,2ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΓΑΛΑΤΣΙΟΥ,501404,"Σουλίου 2-4 & Λεωφ. Γαλατσίου, ΤΚ 11146",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,2ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΚΑΙΣΑΡΙΑΝΗΣ,501637,"ΗΡΩΣ ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ 13Β, ΤΚ 16121",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,2ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΝΕΑΣ ΦΙΛΑΔΕΛΦΕΙΑΣ,501690,"ΤΡΩΑΔΟΣ 37, ΤΚ 14342",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,2ο ΠΕΙΡΑΜΑΤΙΚΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501130,"Τ. ΦΙΛΗΜΟΝΟΣ 36 ΚΑΙ ΤΣΟΧΑ, ΤΚ 11521",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,38ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501380,"ΕΥΕΛΠΙΔΩΝ 40, ΤΚ 11362",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,39ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501390,"ΒΕΛΒΕΝΔΟΥ 47, ΤΚ 11364",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,3ο ΕΣΠΕΡΙΝΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΑΣ,501108,"ΣΠ. ΜΕΡΚΟΥΡΗ 20, ΤΚ 11634",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,3ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΒΥΡΩΝΑ ΑΤΤΙΚΗΣ,501501,"ΤΑΤΑΟΥΛΩΝ 2, ΤΚ 16232",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,3ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΓΑΛΑΤΣΙΟΥ,501407,"ΔΡΥΟΠΙΔΟΣ 7, ΤΚ 11147",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,3ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΖΩΓΡΑΦΟΥ,501550,"ΗΡΩΩΝ ΠΟΛΥΤΕΧΝΕΙΟΥ 3, ΤΚ 15773",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,3ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΗΛΙΟΥΠΟΛΗΣ,501627,"ΜΑΡΙΝΟΥ ΑΝΤΥΠΑ ΚΑΙ ΤΖΟΥΜΑΓΙΑΣ, ΤΚ 16345",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,3ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΝΕΑΣ ΦΙΛΑΔΕΛΦΕΙΑΣ,501696,"ΙΑΣΩΝΙΔΟΥ 22, ΤΚ 14342",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,3ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΥΜΗΤΤΟΥ,501164,"ΙΟΝΙΩΝ ΝΗΣΩΝ 33, ΤΚ 17237",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,40ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΑΣ,501400,"ΣΚΙΑΘΟΥ ΚΑΙ ΖΩΤΟΥ, ΤΚ 11255",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,41ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501321,"ΠΑΤΜΟΥ 11-13, ΤΚ 11253",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,42ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΑΣ,501331,"ΜΙΧΑΗΛ ΒΟΔΑ 12, ΤΚ 10439",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,43ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501361,"ΑΣΠΡΟΓΕΡΑΚΑ 2, ΤΚ 11744",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,46ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΑΣ,501230,"ΑΣΚΛΗΠΙΟΥ 183, ΤΚ 11471",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,48ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501116,"Μ. ΚΟΡΑΚΑ 44, ΤΚ 10445",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,49ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΑΣ - ΔΗΜΟΦΙΛΟΣ,501697,"ΤΣΟΥΝΤΑ & ΒΟΥΤΥΡΑ & ΚΗΠΩΝ, ΤΚ 11143",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,4ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΑΣ,501070,"ΣΑΜΟΥ 46, ΤΚ 10439",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,4ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΒΥΡΩΝΑ,501502,"ΚΡΙΕΖΩΤΟΥ ΚΑΙ ΤΣΑΚΑΛΩΦ, ΤΚ 16232",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,4ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΓΑΛΑΤΣΙΟΥ,501408,"ΔΡΥΟΠΙΔΟΣ 7, ΤΚ 11147",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,4ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΔΑΦΝΗΣ,501528,"ΕΘΝΑΡΧΟΥ ΜΑΚΑΡΙΟΥ 153-155, ΤΚ 17235",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,4ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΖΩΓΡΑΦΟΥ,501551,"ΒΑΚΤΡΙΑΝΗΣ 99, ΤΚ 15772",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,4ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΗΛΙΟΥΠΟΛΗΣ,501628,"ΓΡΑΜΜΟΥ & ΒΑΚΧΟΥ 13, ΤΚ 16345",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,50ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501074,"ΧΑΤΖΗΑΠΟΣΤΟΛΟΥ 74-76 ΚΑΙ ΔΟΡΔΟΥ, ΤΚ 10443",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,51ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501076,"ΛΕΝΟΡΜΑΝ & ΑΛΙΚΑΡΝΑΣΣΟΥ 20 - 28, ΤΚ 10441",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,52ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501072,"ΠΕΤΡΑΣ - ΤΡΙΠΟΛΕΩΣ 2-4, ΤΚ 10444",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,54ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501073,"ΚΑΛΑΜΑ 2, ΤΚ 10443",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,56ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501193,"ΑΧΑΙΑΣ 3, ΤΚ 11523",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,57ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501196,"ΑΣΤΡΑΠΟΓΙΑΝΝΟΥ 3, ΤΚ 11526",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,59ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ - ΦΩΤΗΣ ΚΟΝΤΟΓΛΟΥ,501406,"ΣΕΚΟΥΝΔΟΥ 10 & Λ.ΙΩΝΙΑΣ 319-327, ΤΚ 11143",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,5ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501080,"ΑΡΑΧΩΒΗΣ ΚΑΙ ΕΜ ΜΠΕΝΑΚΗ 48, ΤΚ 10681",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,5ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΓΑΛΑΤΣΙΟΥ,501409,"ΩΡΩΠΟΥ ΚΑΙ ΦΑΥΝΟΥ 2, ΤΚ 11146",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,5ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΖΩΓΡΑΦΟΥ,501552,"ΜΕΓ. ΑΛΕΞΑΝΔΡΟΥ ΚΑΙ ΚΟΡΥΤΣΑΣ, ΓΟΥΔΗ, ΤΚ 15773",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,5ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΗΛΙΟΥΠΟΛΗΣ,501629,"Λ.ΒΟΥΛΙΑΓΜΕΝΗΣ 521, ΤΚ 16341",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,60ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΑΣ,501191,"ΡΗΝΕΙΑΣ 2-4, ΤΚ 11362",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,62ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501157,"ΠΑΝΔΩΡΟΥ 13-15, ΤΚ 11853",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,63ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501867,"ΑΜΦΙΠΟΛΕΩΣ 52, ΤΚ 11855",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,65ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501194,"ΜΗΛΙΑΡΑΚΗ 71, ΤΚ 11145",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,66ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ - ΑΡΙΣΤΟΚΛΕΙΟ,501195,"ΔΡΑΚΟΝΤΟΣ 6, ΤΚ 10442",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,67ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΑΣ,501198,"ΛΙΟΣΙΩΝ 195, ΤΚ 10445",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,68ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501199,"ΘΥΣΣΟΥ ΚΑΙ ΑΒΙΑΣ, ΤΚ 11142",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,6ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΑΣ,501090,"ΖΕΥΞΙΔΟΣ 1 & ΠΥΘΕΟΥ, ΤΚ 11743",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,6ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΓΑΛΑΤΣΙΟΥ,501411,"ΑΛΚΥΟΝΗΣ ΚΑΙ ΑΙΓΟΣΘΕΝΩΝ, ΤΚ 11146",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,6ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΖΩΓΡΑΦΟΥ,501553,"ΤΑΞΙΛΟΥ ΚΑΙ ΥΔΑΣΠΟΥ 18, ΤΚ 15772",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,72ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,502198,"ΕΥΑΓΡΙΟΥ & ΚΡΟΥΣΙΟΥ, ΤΚ 11363",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,7ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501100,"ΠΡΑΤΙΝΟΥ 19, ΤΚ 11634",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,7ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΗΛΙΟΥΠΟΛΗΣ,501625,"ΠΟΥΣΟΥΛΙΔΟΥ 18, ΤΚ 16346",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,8ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501110,"ΝΙΚΟΠΟΛΕΩΣ 33, ΤΚ 11253",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,9ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501120,"ΤΡΩΩΝ 2, ΤΚ 11851",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,ΓΥΜΝΑΣΙΟ ΔΙΑΠΟΛΙΤΙΣΜΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ Α ΑΘΗΝΑΣ,501050,"ΗΠΕΙΡΟΥ 4, ΤΚ 10433",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,ΓΥΜΝΑΣΙΟ ΚΑΡΕΑ (ΧΡΗΣΤΟΣ ΑΝΤΩΝΙΑΔΗΣ),501506,"ΕΛΛΗΝΩΝ ΑΞΙΩΜΑΤΙΚΩΝ 2, ΤΚ 16233",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,ΕΙΔΙΚΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501555,"ΥΔΡΑΣ 2, ΤΚ 16345",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,Ενιαίο Ειδικό Επαγγελματικό Γυμνάσιο - Λύκειο Αθήνας,511002,"ΑΓΙΩΝ ΑΣΩΜΑΤΩΝ 16-20, ΤΚ 10553",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΝΕΑΣ ΧΑΛΚΗΔΟΝΑΣ ΑΘΗΝΩΝ,501686,"ΣΟΛΩΜΟΥ ΚΑΙ ΠΕΤΑΛΑ, ΤΚ 14343",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΝΟΣΟΚΟΜΕΙΟ ΠΑΙΔΩΝ,501535,"ΘΗΒΩΝ ΚΑΙ ΜΙΚΡΑΣ ΑΣΙΑΣ, ΤΚ 11527",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,ΜΟΥΣΙΚΟ ΣΧΟΛΕΙΟ ΑΘΗΝΑΣ,539001,"Δρακοντος 37, ΤΚ 10442",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,ΠΕΙΡΑΜΑΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟΥ ΑΘΗΝΩΝ,501001,"ΣΚΟΥΦΑ 43, ΤΚ 10673",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Ειδικής Επαγγελματικής Εκπαίδευσης και Κατάρτισης,ΕΕΕΕΚ ΚΩΦΩΝ ΒΑΡΗΚΟΩΝ ΑΘΗΝΑΣ,541001,"ΖΑΧΑΡΩΦ 1 - ΑΘΗΝΑ, ΤΚ 11521",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
